Aerosmith,Versions,File Type
Drive - E,,
,,
,,
[1976],,
"2-XX-1976 / New York, NY / The Record Plant - Rocks Sessions",SBD,FLAC
,,
[1983],,
"2-14-1983 / Philadelphia, PA / The Spectrum-  ANA(M) (luvsufo) (krw_co transfer) ",AUD,FLAC 24
,,
[1986],,
"4-13-1986 / Bethlhem, PA / Stabler Arena - ANA(M) (luvsufo) (krw_co transfer)",AUD,FLAC
,,
[1987],,
"10-16-1987 / Binghamton, NY / Veterans Memorial - ANA(M) (luvsufo) (krw_co transfer)",AUD,FLAC 24
"10-20-1987 / Toronto, ON / Maple Leaf Gardens (Sony WM-D3) (bowlingron)",AUD,FLAC
,,
[1990],,
"6-29-1990 / Toronto, ON / CNE Stadium, Toronto, ON (Sony METAL-SR 90) (bowlingron)",AUD,FLAC
"7-15-1990 / Dallas, TX / Starplex Amphitheater - ANA(1)",AUD,FLAC
,,
[1993],,
"11-1-1993 / Rotterdam, Netherlands / Ahoy - ANA(1) (r. huizinga) (mats666 transfer)",AUD,FLAC
"11-26-1993 / Oldenburg, Germany / Weser-Ems Halle - ANA(1) (r. huizinga) (mats666 transfer)",AUD,FLAC
,,
[1994],,
"1-21-1994 / Rio de Janeiro, Brazil / Praça da Apoteose *Struttin' My Stuff (KTS 292-293)",Silver CD,FLAC
"10-15-1994 / Devore, CA / Blockbuster Pavillion (Aiwa) (dennis fuller) ",AUD,FLAC
"12-16-1994 / East Rutherford, NJ / Brendan Byrne Arena (Realistic mic) (koondog) ",AUD,FLAC
"12-19-1994 / Boston, MA / Mama Kin Music Hall (floridian)",FM,FLAC
,,
[1997],,
"12-16-1997 / Anaheim, CA / Pond (Sony D7) (bouldernbun/highdesert/mike lee)",AUD,FLAC
,,
[2007],,
"9-16-2007 / Bristow, VA / Nissan Pavilion, - DAT(M) (scm) (krw_co transfer) (48k)",AUD,FLAC
,,
[2014],,
"6-9-2014 / Berlin, DE / O2-World (Soundman OKM IIr) (wb)",AUD,FLAC
,,
[2019],,
"6-19-2019 / Las Vegas, NV / Park MGM - Park Theater (Multiple IEM Source Matrix) ",MIX,FLAC