Blind Melon,Versions,File Type
Drive - C,,
,,
,,
[1990],,
"XX-XX-1990 / Los Angeles, CA / The Goodfoot Demos (Original Cassette)",,FLAC
"XX-XX-1990 / Los Angeles, CA / The Goodfoot Demos (2020 Phase Fix Edition)",,FLAC
,,
[1992],,
"7-25-1992 / Hollywood, CA / Palladium ""The Medicine Show""",AUD,FLAC
"10-28-1992 / Ithaca, NY / Max's Kansas City (unk)",AUD,FLAC
"11-7-1992 / Asbury Park, NJ / The Stone Pony (unk)",AUD,FLAC
"11-11-1992 / Virginia Beach, VA / The Peppermint Club (unk)",AUD,FLAC
,,
[1993],,
XX-XX-1993 / Unknown Location and Venue *Sting Me (KTS 254),Silver CD,FLAC
"3-10-1993 / Pittsburgh, PA / AJ Palumbo Center (Sony Walkman) (unk)",AUD,FLAC
"3-16-1993 / Richmond, VA / Floodzone (unk)",AUD,FLAC
"3-25-1993 / New York, NY / Wetland's Preserve",SBD,FLAC
"4-24-1993 / Mexico City, MX / The Sports Palace (unk)",AUD,FLAC
"7-3-1993 / Burlington, VT / Club Metronome (unk) (mike d transfer) (inc) ",SBD,FLAC
"7-21-1993 / Memphis, TN / Club 616 (unk)",AUD,FLAC
"8-2-1993 / Minneapolis, MN / First Avenue (Nakamichi 700) (unk)",AUD,FLAC
"8-14-1993 / Milwaukee, WI / Marcus Amphitheater (Shure SM98) (ko)",AUD,FLAC
"8-16-1993 / Clarkston, MI / Pine Knob Amphitheatre - ANA(M) (unk)",AUD,FLAC 24
"8-18-1993 / Cheektowaga, NY / Blind Mellon's (unk) (bob hamilton)",AUD,FLAC 24
"9-5-1993 / George, WA / The Gorge (unk)",AUD,FLAC
"9-22-1993 / Toronto, Canada / Maple Leaf Gardens (unk)",AUD,FLAC
"10-16-1993 / Dallas, TX / Dallas County Convention Center - DAT(M) (Sony PCM R-300) (smores)",AUD,FLAC
"10-21-1993 / Los Angeles, CA / UCLA Pauley Pavilion (unk)",AUD,FLAC
"10-24-1993 / Las Vegas, NV / Huntridge Theater - ANA(M) (Sony WM-D6) (scott tillotson)",AUD,FLAC
"11-16-1993 / Paris, France / Elysee Montmartre (unk)",AUD,FLAC
"12-10-1993 / Toronto, Canada / The Warehouse (unk)",AUD,FLAC
"12-12-1993 / Los Angeles, CA / Universal Theatre",FM,FLAC
,,
[1994],,
"XX-XX-1994 / New Orleans, LA / Kingsway Studio Demos (Raw Soup Studio)",SBD,FLAC
"2-17-1994 / New York, NY / Roseland Ballroom *Hard Road to the Top",SBD,FLAC
"2-17-1994 / New York, NY / Roseland Ballroom (Sony ECM-909a) (rob) ",AUD,FLAC
"2-17-1994 / New York, NY / Roseland Ballroom ",AUD,FLAC
"2-21-1994 / New Britain, CT / The Sting - DAT(M) (ted dralle)",SBD,FLAC
"3-17-1994 / Kirksville, MO / Pershing Theatre",SBD,FLAC
"8-13-1994 / Saugerties, NY / Winston Farm - Woodstock 94 - ANA(M) (SS-DSM-6P) (dennis orr)",AUD,FLAC
"10-1-1994 / Ames, IA / Cyclone Stadium - ANA(M) (SS-DSM-6P) (steve hagar)",AUD,FLAC
,,
[1995],,
"9-12-1995 / Toronto, Canada / MuchMusic Studios *Climbing the Clouds (OXY 033)",Silver CD,FLAC
"9-17-1995 / London, UK / Maida Vale Studios",FM,FLAC
"9-29-1995 / Minneapolis, MN / First Avenue (unk)",AUD,FLAC
"10-7-1995 / Mountain View, CA / Shoreline Amphitheatre (unk)",AUD,FLAC
"10-17-1995 / Boulder, CO / Glenn Miller Ballroom (unk)",AUD,FLAC
,,
[2007],,
"10-17-2007 / Chicago, IL / Mancow Radio Show (unk) (311guy)",FM,FLAC
,,
[2008],,
"3-22-2008 / Omaha, NE / Slowdown (Peluso CEMC6) (unk) ",AUD,FLAC
"3-24-2008 / Sauget, IL / POPS (unk) (ryan conway)",AUD,FLAC
"3-25-2008 / Kansas City, MO / Beaumont Club (unk) (ryan conway)",AUD,FLAC
"4-20-2008 / Houston, TX / Meridian Blue Room (DPA 4023) (prof_peabody)",AUD,FLAC
"4-30-2008 / Las Vegas, NV / Zia Records - In store Acoustic set (cps) - WAV(M) (Akg CK91) (cps)",AUD,FLAC
"4-30-2008 / Las Vegas, NV / Jillian's - WAV(M) (Studio Projects C4) (cps)",AUD,FLAC
"5-3-2008 / San Juan Capistrano, CA / The Coach House (CSB) (faninor) ",AUD,FLAC 24
"8-7-2008 / Dallas, TX / House Of Blues (DPA 4021) (ofotd)",AUD,FLAC
,,
[2011],,
"9-4-2011 / Chicago, IL / The Metro (DPA 4022)  (marke)",AUD,FLAC
,,
[2013],,
"8-4-2013 / Decatur, IL / Decatur Celebration (SP-CMC-8) (foosman1)",AUD,FLAC
,,
[MISC],,
The Goodfoot Workshop (1990 Demos),,FLAC
Shannon Hoon Acoustic Demos - Kingsway 1994,,FLAC
The Headtrain Demos (1990),,FLAC