John Mayer,Versions,File Type,
"8-2-2008 / Woodlands, TX / Woodlands Pavilion (DPA 4021) (ofotd)",AUD,FLAC,
"8-19-2008 / Charlotte, NC / Verizon Wireless Amphitheatre (Neumann AK40) (brian hadella)",AUD,FLAC,
"8-19-2008 / Charlotte, NC / Verizon Wireless Amphitheatre (Shure SM81s) (gary burdick) ",AUD,FLAC,
"8-22-2008 / Darien Center, NY / Darien Lake Performing Arts Center (AT 4041s) (seth nochajski)",AUD,FLAC,
"8-23-2008 / Hartford, CT / Dodge Music Center (AKG C1000s) (crupi)",AUD,FLAC,
"8-23-2008 / Hartford, CT / New England Dodge Center (AKG481) (kazmo kramer)",AUD,FLAC,
"8-24-2008 / Atlantic City, NJ / Borgata Hotel Casino & Spa (Schoeps MK41) (unk)",AUD,FLAC,
"8-25-2008 / Saratoga Springs, NY / Saratoga Performing Arts Center (AKG C1000s) (claude sawyer)",AUD,FLAC,
"8-30-2008 / Tampa, FL / Ford Amphitheatre (Sennheiser MKE) (tom ierna)",AUD,FLAC 24,
"8-31-2008 / West Palm Beach, FL / Cruzan Amphitheatre (CA-9100) (mattrix) ",AUD,FLAC,
"12-6-2008 / Los Angeles, CA / Nokia Theater (unk)",AUD,FLAC,
,,,
[2009],,,
"11-16-2009 / Brooklyn, NY / Music Hall of Williamsburg (Gefell M200s) (keith)",AUD,FLAC,
"11-24-2009 / Toronto, ON / Sound Academy - Canadian Battle Studies Release Show",SBD,FLAC,
,,,
[2010],,,
"1-13-2010 / Amsterdam, The Netherlands / Heineken Music Hall (Sennheiser MKE2)",AUD,FLAC,
"1-13-2010 / Amsterdam, The Netherlands / Heineken Music Hall",FM,FLAC,
"2-4-2010 / Sunrise, FL / Bank Atlantic Center (Schoeps CCM4s) (unk)",AUD,FLAC,
"2-5-2010 / Tampa, FL / St. Pete Times Forum (Shure MX184s) (francis novoa)",AUD,FLAC,
"2-8-2010 / North Charleston, SC / North Charleston Coliseum (Busman Mod Oktava MC-012) (unk)",AUD,FLAC,
"2-12-2010 / Auburn Hills, MI / Palace of Auburn Hills (Schoeps MK4) (unk)",AUD,FLAC 24,
"2-24-2010 / Boston, MA / TD Garden (CA-11s) (vanark)",AUD,FLAC,
"2-25-2010 / New York, NY / Madison Square Garden (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"2-26-2010 / New York, NY / Madison Square Garden (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"2-28-2010 / Grand Rapids, MI / Van Andel Arena (Schoeps MK4) (sam lincoln) ",AUD,FLAC 24,
"3-1-2010 / Milwaukee, WI / Bradley Center (Zoom H2) (unk)",AUD,FLAC,
"3-5-2010 / Oklahoma City, OK / Ford Center (AKG 483) (ofotd)",AUD,FLAC,
"3-6-2010 / Houston, TX / The Toyota Center (DPA 4021) (justin kacz)",AUD,FLAC,
"3-9-2010 / Dallas, TX / American Airlines Center (AKG 483) (ofotd) ",AUD,FLAC,
"3-12-2010 / Columbus, OH / Nationwide Arena (AKG 480 CK63) (jedinak)",AUD,FLAC,
"3-13-2010 / Louisville, KY / Freedom Hall (AT831s) (geneva weaver) ",AUD,FLAC,
"3-17-2010 / Atlanta, GA / Philips Arena (Schoeps CCM4Vs) (z-man)",AUD,FLAC,
"3-22-2010 / Kansas City, MO / Sprint Center (Beyerdynamic MC930s) (michael b lindsay)",AUD,FLAC 24,
"4-8-2010 / Fargo, ND / Fargodome (Sony mic) (pam)",AUD,FLAC,
"4-10-2010 / Chicago, IL / United Center (CA-14s) (diamonds) ",AUD,FLAC,
"5-11-2010 / Tokyo, Japan /  JCB Hall - Battle Water 2010 (Night 1)",AUD,M4A,
"5-12-2010 / Tokyo, Japan /  JCB Hall - Battle Roads (Night 2)",AUD,M4A,
"5-13-2010 / Tokyo, Japan /  JCB Hall - Battle Bridges (Night 3)",AUD,M4A,
"5-13-2010 / Tokyo, Japan / JCB Hall (AT9900) (unk)",AUD,FLAC,
"7-16-2010 / Charlotte, NC / Verizon Wireless Amphitheatre (DPA 4023) (george wang)",AUD,FLAC,
"7-16-2010 / Charlotte, NC / Verizon Wireless Amphitheatre (DPA 4023) (brian hadella)",AUD,FLAC,
"7-17-2010 / Raleigh, NC / Time Warner Cable Music Pavilion at Walnut Creek (DPA 4023) (george wang) ",AUD,FLAC,
"7-21-2010 / Wantagh, NY / Jones Beach Amphitheatre (Schoeps CCM4Vs) (z-man)",AUD,FLAC,
"7-30-2010 / Camden, NJ / Susquehanna Bank Center (AKG 460 mods) (rockinman) ",AUD,FLAC,
"7-31-2010 / Bristow, VA / Jiffy Lube Live (AKG460mods) (rockinman)",AUD,FLAC,
"8-4-2010 / Bethel, NY / Bethel Woods Center for the Arts (AKG C1000) (claude sawyer)",AUD,FLAC,
"8-4-2010 / Bethel, NY / Bethel Woods Center For The Arts (Schoeps MK41s) (keith litzenberger) ",AUD,FLAC,
"8-5-2010 / Hershey, PA / Hersheypark Stadium (AKG 460mods) (rockinman)",AUD,FLAC,
"8-7-2010 / Hartford, CT / Comcast Theatre (DPA 4025-TL) (christopher jones)",AUD,FLAC,
"8-7-2010 / Hartford, CT / Comcast Theatre (Beyer Dynamics MC-930s) (steve walkuski)",AUD,FLAC,
"8-8-2010 / Saratoga Springs, NY / Saratoga Performing Arts Center (AKG C1000) (claude sawyer)",AUD,FLAC,
"8-8-2010 / Saratoga Springs, NY / Saratoga Performing Arts Center (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"8-14-2010 / Tinley Park, IL / FMBP (Zoom H2) (unk)",AUD,FLAC,
"8-15-2010 / Noblesville, IN / Verizon Wireless Music Center (Shure KSM109s) (mike peters)",AUD,FLAC,
"8-18-2010 / Phoenix, AZ / Cricket Pavilion (CA-11) (u22utoo)",AUD,FLAC,
"8-22-2010 / Hollywood, CA / Hollywood Bowl (AKG CK63) (duh vid)",AUD,FLAC,
"8-22-2010 / Hollywood, CA / Hollywood Bowl (Schoeps MK41) (b. weaver)",AUD,FLAC,
"9-4-2010 / Dallas, TX / Superpages.com Center (Schoeps MK41) (b. weaver)",AUD,FLAC,
"9-5-2010 / The Woodlands, TX / Cynthia Woods-Mitchell Pavilion (DPA 4021) (justin kacz) ",AUD,FLAC,
,,,
[2013],,,
"4-25-2013 / Tuscaloosa, AL / Tuscaloosa Amphitheater (unk) (don browning & debbie ocoboc)",AUD,FLAC,
"7-10-2013 / Bonner Springs, KS / Cricket Wireless Amphitheatre (CA-11s) (jagraham)",AUD,FLAC,
"7-10-2013 / Bonner Springs, KS / Cricket Wireless Amphitheatre (CA-14s) (jagraham)",AUD,FLAC,
"7-12-2013 / The Woodlands, TX / Cynthia Woods-Mitchel Pavilion (DPA 4028) (justin kacz)",AUD,FLAC 24,
"8-10-2013 / Noblesville, IN / Klipsch Music Center (AKG 460B) (mike peters)",AUD,FLAC,
"8-10-2013 / Noblesville, IN / Klipsch Music Center (CK63) (duh vid) ",AUD,FLAC,
"8-11-2013 / Springfield, IL / Illinoise State Fairground (unk) ",AUD,FLAC,
"8-16-2013 / Hartford, CT / Comcast Theatre (Beyer MC930) (steve walkuski) ",AUD,FLAC,
"8-16-2013 / Hartford, CT / Comcast Theatre (Beyer MC930) (steve walkuski)",AUD,FLAC,
"8-17-2013 / Mansfield, MA / Great Woods (MBHO603) (bob crupi)",AUD,FLAC,
"8-31-2013 / Bristow, VA / Jiffy Lube Live (AKG 460mod) (rockinman)",AUD,FLAC,
"9-1-2013 / Atlantic City, NJ / Borgata Hotel - Casino adn Spa (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"9-4-2013 / Charlotte, NC / Verizon Wireless Amphitheatre (Berliner CM-33s) (nsl) ",AUD,FLAC,
"9-27-2013 / Atlanta, GA / Aaron's Amphitheatre at Lakewood (unk) (don browning)",AUD,FLAC,
"10-1-2013 / Albuquerque, NM / Isleta Amphitheatre (unk) (debbie ocoboc)",AUD,FLAC,
"10-2-2013 / Phoenix, AZ / Desert Sky Pavilion (unk) (debbie ocoboc)",AUD,FLAC,
"10-5-2013 / Los Angeles, CA / Hollywood Bowl (unk) (debbie ocoboc)",AUD,FLAC,
"10-17-2013 / Olso, Germany / Spektrum (Zoom H4) (tobben) ",AUD,FLAC,
"12-17-2013 / Brooklyn, NY / Barclays Center (DPA 4022) (christopher jones)",AUD,FLAC 24,
,,,
[2014],,,
"4-30-2014 / Tokyo, Japan / Castle Hall - Good and Fine (unk)",AUD,M4A,
"5-2-2014 / Tokyo, Japan / Budokan (1st Night) (unk) ",AUD,M4A,
"5-3-2014 / Tokyo, Japan / Budokan - Dreams at Home (unk) ",AUD,M4A,
"5-3-2014 / Tokyo, Japan / Budokan (MKE 40-60) (starlight)",AUD,FLAC,
"5-3-2014 / Tokyo, Japan / Budokan (unk)",AUD,M4A,
"6-12-2014 / Stockholm, SWE / Ericsson Globe (iPhone 3G) (bluemikey)",AUD,FLAC,
,,,
[2017],,,
"3-31-2017 / Albany, NY / Times Union Center (DPA 4025-TL) (christopher jones) ",AUD,FLAC,
"3-31-2017 / Albany, NY / Times Union Center (MG21) (keith antaya)",AUD,FLAC,
"3-31-2017 / Albany, NY / Times Union Center (Rode NT4) (unk)",AUD,FLAC,
"4-1-2017 / Montreal, Quebec / Bell Centre (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"4-5-2017 / New York, NY / Madison Square Garden (DPA 4023) (christopher jones)",AUD,FLAC 24,
"4-9-2017 / Boston, MA / TD Garden (Rode NT4) (unk)",AUD,FLAC,
"4-11-2017 / Chicago, IL / United Center (Zoom H1) (ethan koisti) ",AUD,FLAC,
"4-12-2017 / Columbus, OH / Schottenstein Center (Schoeps MK41) (relax and stream)",AUD,FLAC,
"4-14-2017 / Kansas City, MO / Sprint Center (Nakamichi CM-30s) (jason graham)",AUD,FLAC,
"4-14-2017 / Kansas City, MO / Sprint Center (AT-853s) (jason graham)",AUD,FLAC,
"4-15-2017 / Saint Paul, MN / Xcel Energy Center (DPA 4023) (christopher jones)",AUD,FLAC,
"4-19-2017 / Vancouver, BC / Rogers Arena (CA-11s) (dgb)",AUD,FLAC 24,
"5-3-2017 / Amsterdam, The Netherlands / Ziggo Dome (thomas van der dunk)",AUD,FLAC,
"5-8-2017 / Oslo, Norway / Oslo Spektrum (Zoom H4) (unk) ",AUD,FLAC,
"7-25-2017 / Anaheim, CA / Honda Center (CA-14c) (chrisedge) ",AUD,FLAC,
"7-27-2017 / Sacramento, CA / Golden 1 Center (DPA 4023) (justin kacz)",AUD,FLAC,
"8-6-2017 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion (DPA 4023) (ofotd)",AUD,FLAC,
"8-8-2017 / Nashville, TN / Bridgestone Arena (Rode MD5) (unk)",AUD,FLAC,
"8-10-2017 / Atlanta, GA / Lakewood Amphitheatre (Rode MD5) (unk)",AUD,FLAC,
"8-13-2017 / Tampa, FL / Amalie Arena (Sennheiser MKE) (tom ierna)",AUD,FLAC 24,
"8-15-2017 / Charlotte, NC / PNC Music Pavilion (CM-33s) (nsl) ",AUD,FLAC,
"8-16-2017 / Raleigh, NC / Coastal Credit Union Music Park at Walnut Creek (CA-11) (golf7)",AUD,FLAC,
"8-18-2017 / Camden, NJ / BB&T Pavilion (KM185) (justin kacz)",AUD,FLAC 24,
"8-19-2017 / Holmdel, NJ / PNC Bank Arts Center (Neumann U89i) (christopher jones)",AUD,FLAC,
"8-20-2017 / Hartford, CT / Xfinity Theater (MG21) (keith antaya)",AUD,FLAC,
"8-20-2017 / Hartford, CT / Xfinity Theatre (Shure MV88) (mibro0224) ",AUD,FLAC,
"8-22-2017 / Syracuse, NY / Lakeview Amphitheatre (Neumann SKM140) (steven weld)",AUD,FLAC 24,
"8-23-2017 / Wantagh, NY / Jones Beach Amphitheatre (Gefell M210s) (jon pasternik)",AUD,FLAC,
"8-23-2017 / Wantagh, NY / Jones Beach Amphitheater (Rode M5) (unk)",AUD,FLAC,
"8-27-2017 / Darien Center, NY / Darien Lake Performing Arts Center (AT831s) (binko)",AUD,FLAC,
"8-30-2017 / Cuyahoga Falls, OH / Blossom Music Center (MCE86II) (scott plumer)",AUD,FLAC,
,,,
[2019],,,
"4-5-2019 / Tangerang, Indonesia / BSD City (Samsung A6) (unk)",AUD,AIF,
"4-10-2019 / Tokyo, Japan / Budokan (Sennheiser MKE 40-EW) (halwo)",AUD,FLAC,
"4-11-2019 / Tokyo, Japan / Budokan (Sennheiser MKE 40-EW) (halwo)",AUD,FLAC,
"7-19-2019 / Albany, NY / Times Union Center (Rode NT4) (claude sawyer)",AUD,FLAC,
"7-19-2019 / Albany, NY / Times Union Center (Schoeps CCM41) (christopher jones)",AUD,FLAC,
"7-20-2019 / Providence, RI / Dunkin' Donuts Center (Schoeps CCM41) (christopher jones)",AUD,FLAC,
"7-20-2019 / Providence, RI / Dunkin' Donuts Center (DPA 411ER) (christopher jones) ",AUD,FLAC,
"7-23-2019 / Washington, DC / Capitol One Arena (Zoom H2) (joey depaiva)",AUD,FLAC,
"7-25-2019 / New York, NY / Madison Square Garden (Rode VideoMic Pro) (don browning)",AUD,FLAC,
"7-26-2019 / New York, NY / Madison Square Garden (Rode Videmic) (don browning)",AUD,FLAC,
"7-26-2019 / New York, NY / Madison Square Garden (Schoeps CCM41) (christopher jones)",AUD,FLAC 24,
"7-26-2019 / New York, NY / Madison Square Garden (SiriusXM Live Rewind Stream) (anthony) ",FM,FLAC,
"7-30-2019 / Toronto, Ontario / Scotiabank Arena (Zoom H2) (joey depaiva)",AUD,WAV,
"7-31-2019 / Toronto, Ontario / Scotiabank Arena (Zoom H2) (joey depaiva)",AUD,WAV,
"8-2-2019 / Detroit, MI / Little Caesars Arena (Schoeps CCM41) (christopher jones) ",AUD,FLAC 24,
"8-2-2019 / Detroit, MI / Little Caesars Arena (Schoeps CCM41 + DPA 4011) (5.1 mix) (christopher jones)",MIX,FLAC 24,
"8-5-2019 / St. Paul, MN / Xcel Energy Center (Mobile Phone Voice Recorder) (jmay2019) ",AUD,M4A,
"8-8-2019 / Nashville, TN / Bridgestone Arena (Rode VideoMic Pro) (don browning)",AUD,FLAC,
"8-11-2019 / Atlanta, GA / State Farm Arena (Rode VideoMic Pro) (don browning) ",AUD,FLAC,
"9-2-2019 / Kansas City, MO / Sprint Center (AT853s) (jason graham)",AUD,FLAC,
"9-2-2019 / Kansas City, MO / Sprint Center (Nakamichi CM-300s) (jason graham)",AUD,FLAC,
"9-4-2019 / St. Louis, MO / Enterprise Center (Rode VideoMic Pro) (don browning)",AUD,FLAC,
"9-8-2019 / Houston, TX / Toyota Center (DPA 4023) (justin kacz)",AUD,FLAC 24,
"9-14-2019 / Inglewood, CA / The Forum (CA-14s) (chrisedge)",AUD,FLAC,
"9-17-2019 / Sacramento, CA / Golden 1 Center",AUD,MP3,
"9-21-2019 / Dallas, TX / Crossroads Guitar Festival (MK4) (scooter123)",AUD,FLAC,
"10-3-2019 / Oslo, Norway / Oslo Spektrum (Zoom H4) (tobbengb) ",AUD,FLAC,
,,,
[2022],,,
"2-17-2022 / Albany, NY / MVP Arena (Tascam DR-05) (joel shover)",AUD,FLAC,
"2-17-2022 / Albany, NY / MVP Arena (Rode NT4) (joel shover)",AUD,FLAC,
"2-20-2022 / New York, NY / Madison Square Garden (DPA 4011) (christopher jones) ",AUD,FLAC 24,
"2-21-2022 / New York, NY / Madison Square Garden (Tascam DR-05) (joel shover)",AUD,FLAC,
"2-21-2022 / New York, NY / Madison Square Garden (DPA 4061) (5.1) (christopher jones) ",AUD,FLAC 24,
"3-11-2022 / Las Vegas, NV / MGM Grand Garden Arena (Zoom H1) (djid4)",AUD,FLAC 24,
"3-15-2022 / Los Angeles, CA / The Forum (Zoom H1) (djid4)",AUD,FLAC 24,
"3-16-2022 / Los Angeles, CA / The Forum (Zoom H1) (djid4)",AUD,FLAC 24,
"3-18-2022 / Los Angeles, CA / The Forum (Zoom H1) (djid4)",AUD,FLAC 24,
"3-18-2022 / San Francisco, CA / Chase Center (Schoeps MK4) (tj) ",AUD,FLAC,
"4-2-2022 / Sunrise, FL / FLA Live Arena (unk) ",AUD,FLAC,
"4-5-2022 / Tampa, FL / Amalie Arena (unk) (joel shover)",AUD,FLAC,
"4-8-2022 / Atlanta, GA / State Farm Arena (Schoeps MK4s) (mark terrell)",AUD,FLAC 24,
"4-9-2022 / Atlanta, GA / State Farm Arena (Schoeps MK4s) (mark terrell)",AUD,FLAC,
"5-3-2022 / Toronto, ON / ScotiaBank Arena (Zoom H1N) (aerofan6)",AUD,FLAC,
"5-7-2022 / Elmont, NY/ UBS Arena (AKG C414) (zachary semcken)",AUD,FLAC 24,
"5-7-2022 / Elmont, NY / UBS Arena (Sennheiser MKH 800) (christopher jones) ",AUD,FLAC,
"5-7-2022 / Elmont, NY / UBS Arena (Sennheiser MKH 800 + Schoeps CCM41) (5.1) (christopher jones) ",MIX,FLAC 24,
"8-8-2022 / Livingston, MT / Pine Creek Lodge (Tascam DR-05) (rock n knit) ",AUD,FLAC,
"8-31-2022 / Livingston, MT / Pine Creek Lodge (Nugs.net)",SBD,FLAC,Official Bootleg
,,,
[2023],,,
"3-11-2023 / Newark, NJ / Prudential Center (AKG C414 XLII) (zachary semcken)",AUD,FLAC 24,
"3-11-2023 / Newark, NJ / Prudential Center (OM1 Omnis) (eric lugassy) ",AUD,FLAC,
"3-15-2023 / New York, NY / Madison Square Garden (Schoeps CCM41) (christopher jones) ",MIX,FLAC,
"3-20-2023 / Toronto, ON / Scotiabank Arena (iPhone XR) (ethan flynn)",AUD,FLAC,
"3-24-2023 / Nashville, TN / Bridgestone Arena (Rode Video Mic) (don browning)",AUD,FLAC,
"3-25-2023 / Cleveland, OH /  Rocket Mortgage (Tascam DR-03) (unk) ",AUD,FLAC,
"3-25-2023 / Cleveland, OH / Rocket Mortgage Fieldhouse (Tascam DR-40) (cubesnake)",AUD,FLAC 24,
"3-27-2023 / Atlanta, GA / State Farm Arena (Rode VideoMic Pro) (don browning)",AUD,FLAC,
"3-29-2023 / St. Louis, MO / Enterprise Center (Rode VideoMic Pro) (don browning) ",AUD,FLAC,
"3-31-2023 / Chicago, IL / United Center (iPhone mic clip) (tricia l)",AUD,FLAC 24,
"4-8-2023 / Sacramento, CA / Golden 1 Center (Zoom H1) (djid4)",AUD,FLAC 24,
"9-27-2023 / Hollywood, FL / Hard Rock Live (AKG C414 XLII) (zachary semcken)",AUD,FLAC 24,
"10-3-2023 / New York, NY / Madison Square Garden (Schoeps CCM 41 + CMC1L41V) (christopher jones)",AUD,FLAC 24,
"10-3-2023 / New York, NY / Madison Square Garden (AT3031 + AKG C414) (eric lugassy) ",AUD,FLAC,
"10-6-2023 / Boston, MA / TD Garden (Schoeps CMC622) (jay)",AUD,FLAC,
"10-11-2023 / Nashville, TN / Bridgestone Arena (Rode VideoMic Pro) (don browning) ",AUD,FLAC,
"10-21-2023 / Elmont, NY / UBS Arena (Neumann U67) (christopher jones)",AUD,FLAC,
"10-21-2023 / Elmont, NY / UBS Arena (CM-700s) (unk)",AUD,FLAC,
"10-23-2023 / Charlotte, NC / Spectrum Center (Rode VideoMic Pro) (don browning)",AUD,FLAC,
"10-25-2023 / Atlanta, GA / State Farm Arena (Schoeps CCM4Vs) (z-man) ",AUD,FLAC,
"10-25-2023 / Atlanta, GA / State Farm Arena (Rode VideoMic Pro) (don browning)",AUD,FLAC,
"10-30-2023 / Houston, TX / Toyota Center (DPA 4018V) (justin kacz) ",AUD,FLAC 24,
"11-7-2023 / San Francisco, CA / Chase Center (DPA 4011er) (ryan hoyt)",AUD,FLAC 24,
"11-7-2023 / San Francisco, CA / Chase Center (DPA 4028) (ryan hoyt) ",AUD,FLAC 24,
"11-7-2023 / San Francisco, CA / Chase Center (Zoom H1) (djid4) ",AUD,FLAC 24,
,,,
[2024],,,
"3-24-2024 / Paris, France / Accor Arena (iPhone 13 Pro) (littlbr)",AUD,FLAC,
,,,
[2025],,,
"1-3-2025 / Los Angeles, CA / Kia Forum - FireAid",WEB,MP4,