The Presidents of the U.S.A.,Versions,File Type
Drive - C,,
,,
,,
[1994],,
"5-4-1994 / Seattle, WA / Crocodile Cafe (Sony WM-D3) (geech)",AUD,FLAC
"11-26-1994 / Portland, OR / Mt. Tabor Theater (Sony WM-D3) (geech)",AUD,FLAC
,,
[1995],,
"3-3-1995 / Portland, OR / Satyricon (Sony WM-D3) (unk)",AUD,FLAC
"5-26-1995 / Portland, OR / Pine Street Theater (Sony WM-D3) (geech)",AUD,FLAC
"9-23-1995 / Atlanta, GA / Cat's Pool Studios",SBD,MP3
"10-7-1995 / Denver, CO / Mercury Cafe - DAT(M) (unk) (sxpxdxcx)",AUD,FLAC
"11-9-1995 / Toronto, Ontario / Lee's Place (stevemtl)",FM,FLAC
"11-12-1995 / Boston, MA / Paradise Club *Everybody Supernova",AUD,FLAC
,,
[1996],,
"2-18-1996 / San Francisco, CA / Warfield (unk) (neekrive) ",AUD,FLAC
"3-1-1996 / Dallas, TX / Bomb Factory (D7) (dave h)",AUD,FLAC
"3-11-1996 / Iowa City, IA / Union Bar (CSB) (so)",AUD,FLAC
"3-29-1996 / Stockholm, Sweden / Studion *Funk, Punk & Twang",Silver CD,FLAC
"4-1-1996 / Hamburg, Germany / Club Logo *Baby Baby Baby",Silver CD,MP3
"6-25-1996 / Boston, MA / WCBN Studios (steve hopkins)",FM,FLAC
"6-29-1996 / St. Gallen, CH / Open Air Sittertobel - CASS(M) (stevemtl transfer)",AUD,FLAC
7-24-1996 / Australia Radio,FM,MP3
"10-XX-1996 / Paris, France / Fun Radio (FM>CASS(1) (FA007)",FM,FLAC
"11-14-1996 / London, UK / Astoria *Sounds From Satellite 6 - WNNX",FM,MP3
"11-16-1996 / Tokyo, Japan *Get Happy",Silver CD,FLAC
XX-XX-1996 / Kung Fu Fun,Silver CD,FLAC
XX-XX-1996 / Spin Session on Westwood One Radio (shynomi master),FM,FLAC
,,
[1997],,
"2-6-1997 / San Francisco, CA / Fillmore - DAT(M) (cps transfer) ",SBD,FLAC
"2-7-1997 / San Francisco, CA / Fillmore - DAT(M) (cps transfer) ",SBD,FLAC
"11-23-1997 / Sapporo, Japan / Penny Lane 24",AUD,MP3
,,
[2003],,
"5-30-2003 / Roanoke, VA / Elmwood Park",AUD,SHN
"10-23-2003 / Murphreesboro, TN / MTSU Tucker Theater",AUD,MP3
"12-9-2003 / Los Angeles, CA / Farmer's Market - Sony D8(M) (bobc release)",AUD,DVD
,,
[2004],,
XX-XX-2004 / KEXP Acoustic,FM,FLAC
"6-3-2004 / Boston, MA / Landsdown Street (Sony ECM-717) (jason adler)",AUD,FLAC
"8-7-2004 / Decatur, IL / Funfest - Set 2 - miniDV(x) (eric master) (bobc release)",AUD,DVD
"12-1-2004 / Birmingham, AL / Zydeco (CA-11) (chris brightwell)",AUD,FLAC
,,
[2005],,
"3-25-2005 / San Diego, CA / Belly Up Tavern (Sony Handycam DCR-HC32) (bobc release)",AUD,DVD
"6-3-2005 / Portland, OR / Crystal Ballroom - MD(M) (CSB) (faninor) ",AUD,FLAC
"10-3-2005 / Cambridge, MA / Middle East Club (AKG 391) (jason adler)",AUD,FLAC
"10-20-2005 / Sydney, Australia / The Metro Theatre *Rock Australia 2005 (FTR #20)",Silver CD,FLAC
,,
[2006],,
"5-18-2006 / Paris, France / Elysee Montmartre (Sony ECM-719) (unk)",AUD,FLAC
,,
[2007],,
2-XX-2007 / Spin Sessions,FM,MP3
"2-17-2007 / Seattle, WA / The Showbox (Giant Squid Audio Omnis) (b.c.)",AUD,FLAC
6-7-2007 / SXSW / Daytrotter Session,SBD,MP3
,,
[2008],,
"3-24-2008 / New York, NY / Bowery Ballroom (SP-CMC-10) (unk)",AUD,FLAC
"3-26-2008 / Philadelphia, PA / Trocadero (CSB) (unk)",AUD,FLAC
"3-27-2008 / Boston, MA / The Paradise (Microtech Gefell M200s) (jason adler)",AUD,FLAC
"5-22-2008 / Knoxville, TN / Market Square *Sundown in the City (Realistic 33-1065) (the govner)",AUD,FLAC
"5-29-2008 / Paris, France / Trabendo (SP-CMC-8) (unk)",AUD,FLAC
,,
[2009],,
"2-4-2009 / Honolulu, HI / Pipeline Cafe (CA-14) (thebang)",AUD,FLAC
,,
[2010],,
"6-17-2010 / Anchorage, AK / Bear Tooth Theatre Pub - SBD>Edirol R-09 (jim maley)",SBD,FLAC
"8-28-2010 / Skokie, IL / Skokie's Backlot Bash (CA-14) (jon g,)",AUD,FLAC
,,
[2011],,
"2-20-2011 / Seattle, WA / Showbox (Zoom H1) (unk)",AUD,FLAC
"9-20-2011 / Seattle, WA / Sky Church - Experience Music Project (with Krist Novoselic) - WAV(M) (Panasonic WM-61A) (mike ziegler)",AUD,FLAC
,,
[2013],,
"3-10-2013 / Melbourne, Australia / Palace Theatre (CA-14 + Countryman B3s) (roman79)",MTX,FLAC
"4-11-2013 / Boston, MA / Paradise Club (Microtech Gefell M200s) (jason adler)",AUD,FLAC
"4-15-2013 / New York, NY / Irving Plaza (DPA 4060) (unk)",AUD,FLAC
"5-24-2013 / San Francisco, CA / The Independent (Zoom H2) (unk)",AUD,FLAC
,,
[2014],,
"2-15-2014 / Seattle, WA / Showbox Market - PUSAFest 2014 (Zoom H2) (unk)",AUD,FLAC
"2-16-2014 / Seattle, WA / Triple Door - PUSAFest 2014 (Zoom H2) (unk)",AUD,FLAC
,,
[MISC],,
No Strings Attached (1995-12-17),Silver CD,FLAC
"Various Demos, Etc.",,MP3
Froggystyle EP,SBD,FLAC