Queens of the Stone Age,Versions,File Type
Drive - D,,
,,
,,
[1999],,
"2-6-1999 / Minneapolis, MN / 7th Street Entry - DAT(M) (SS-DSM6) (js)",AUD,FLAC
"4-12-1999 / Cincinnati, OH / Bogart's (CSBmod) (jason briggeman)",AUD,FLAC
"8-20-1999 / New Orleans, LA / House of Blues (anonymous)",SBD,FLAC
,,
[2000],,
"8-11-2000 / Des Moines, IA / Hairy Mary's - MD(M) (AT-831) (jh)",AUD,FLAC
"9-29-2000 / Boston, MA / Lansdowne Street - Axid (WBCN-FM) (zootype)",FM,FLAC
"10-5-2000 / Chicago, IL / The Metro (CSB) (ryan teske)",AUD,FLAC
"10-26-2000 / San Francisco, CA / The Fillmore - DAT(M) (AKG SE300B + CK 93s) (vinny palese)",AUD,FLAC
"11-12-2000 / New York, NY / Roseland Ballroom (prof. stoned mastering)",SBD,FLAC
"12-7-2000 / Malm, Sweden / KB (Vinyl remaster) (exene-bluejane99) ",FM,FLAC
,,
[2001],,
"1-28-2001 / Melbourne, Australia / Big Day Out (eclect transfer)",FM,FLAC
11-XX-2001 / Unknown Studio in CA / Songs for the Deaf (Demos) (Mastered by thir13en),SBD,FLAC
,,
[2002],,
"5-27-2002 / Atlanta, GA / Cotton Club (SBD)",Silver CD,FLAC
"6-2-2002 / Washington, D.C. / 9:30 Club - DAT(M) (DPA 4011) (jlizard)",AUD,FLAC
"6-5-2002 / Detroit, MI / The Shelter (DAB) (shinkibo)",AUD,FLAC
"9-1-2002 / Boston, MA / Avalon Ballroom - DAT(M) (Core Sound HEBs) (smores)",AUD,FLAC
"11-6-2002 / Stockholm, Sweden / Mu?nchenbryggeriet - P3 Swedish Radio (qew)",FM,FLAC
"11-18-2002 / Bern, Switzerland / Dachstock Reithalle - Secret Acoustic Show (unk) ",SBD,FLAC
"12-14-2002 / Pittsburgh, PA / Nick's Fat City - DAT(M) (CSB) (cps)",AUD,FLAC
,,
[2003],,
"1-23-2003 / Sydney, Australia / Channel V - Fox Studios",TV,MPG
"2-22-2003 / Las Vegas, NV / The Joint - DAT(M) (AKG SE 300B + CK93) (vinny palese)",AUD (48k),FLAC
"2-25-2003 / Anaheim, CA / The Grove - DAT(M) (AKG SE 300B + CK93) (vinny palese)",AUD (48k),FLAC
"3-29-2003 / Towson, MD / Center Arena - DAT(M) (Microtech Gefell M20) (jlizard)",AUD,FLAC
"4-26-2003 / Indio, CA / Empire Polo Fields - Coachella Festival - DAT(M) (AKG SE 300B + CK93) (vinny palese)",AUD (48k),FLAC
"7-1-2003 / Kristiansand, Norway / Idrettsplassen - Quart Festival (Norwegian p3)",FM,FLAC
"7-5-2003 / Noblesville, IN / Verizon Wireless Music Center - DAT(M) (CSC) (dt)",AUD,FLAC
"7-19-2003 / Burgettstown, PA / Post-Gazette Pavilion - DAT(M) (SM 98) (carl sylvester)",AUD,FLAC
,,
[2004],,
"1-2-2004 / Sydney, Australia / Enmore Theatre - DAT(M) (Schoeps MK4) (brett habel)",AUD,SHN
,,
[2005],,
"2-21-2005 / Paris, France / Le Trabendo - DAT(M) (Soundman OKMIIr) (unk) (tapeworm48 transfer)",AUD  ,FLAC
"4-16-2005 / San Francisco, CA / The Fillmore (AKG C414B-XLS) (unk)",AUD,FLAC
"4-17-2005 / Santa Cruz, CA / Catalyst - DAT(M) (Oktava MK012) (vinny palese)",AUD (48k),FLAC
"5-21-2005 / Irvine, CA / Verizon Wireless Amphitheater - KROQ Weenie Roast (justin)",FM,FLAC
,,
[2007],,
"8-22-2007 / London, Ontario / Centennial Hall - ANA(M) (TCS-353V) (jm)",AUD,FLAC
"8-24-2007 / East Troy, WI / Alpine Valley Music Theatre (Schoeps MK4s) (tapeworm48) ",AUD,FLAC 24
"12-21-2007 / San Francisco, CA / The Warfield (CA mics) (dcbullet)",AUD,FLAC
,,
[2008],,
"6-14-2008 / Stockholm, Sweden / Where The Action Is Festival (Sony mic) (unk) ",AUD,FLAC
,,
[2011],,
"5-15-2011 / Amsterdam, Holland / Parasdiso - WAV(M) (AT-853s) (cps)",AUD,FLAC
"6-26-2011 / Pilton, England / Glastonbury Festival (BBCi Stream) (TM9100) (kosher)",TV,DVD
,,
[2013],,
"8-15-2013 / Morrison, CO / Red Rocks Amphitheater (Schoeps MK41s) (blg) ",AUD,FLAC
"8-17-2013 / Universal City, CA / Gibson Amphitheatre (Schoeps MK41s) (blg) ",AUD,FLAC
,,
[2014],,
"3-14-2014 / Melbourne, Australia / Rod Laver Arena (Sony ECM-DS70P) (kingbean) ",AUD,FLAC
"4-12-2014 / Indio, CA / Empire Polo Fields - Coachella Festival (Schoeps CCM4s) (unk) (blg mastering)",AUD,FLAC
"4-17-2014 / San Francisco, CA / Billy Graham Civic Auditorium (AT831s) (tapeworm48)",AUD,FLAC
"5-5-2014 / Chicago, IL / Aragon Ballroom (Schoeps MK4s) (tapeworm48)",AUD,FLAC
"5-9-2014 / Chicago, IL / Aragon Ballroom (Schoeps MK4s) (tapeworm48)",AUD,FLAC
,,
[2017],,
"8-28-2017 / Paris, FR / Maison de la Radio - Very Good Trip",FM,FLAC
"9-16-2017 / Chicago, IL / Riot Fest (AT-831s) (tapeworm48) ",AUD,FLAC
,,
[2018],,
"4-27-2018 / New Orleans,LA / Saenger Theatre (SS-DSM-6P) (steve hagar)",AUD,FLAC
"6-29-2018 / Beuningen, The Netherlands / Groene Huevels (3FM Web Radio) (nickmondo) ",FM,FLAC
"9-7-2018 / Melbourne, Australia / Margaret Court Arena (Nokia Lumia 930) (eckythump)",AUD,FLAC
,,
[2023],,
"5-28-2023 / Boston, MA / Harvard Atheletic Complex - Boston Callling (SP-CMC-4U) (unk) ",AUD,FLAC 24
"6-17-2023 / Landgraaf, The Netherlands / Megaland - Pinkpop (Dutch NPO 2 Broadcast) ",PRO,TS
"7-2-2023 / Werchter, Belgium / Rock Werchter Festival (inc) ",FM,FLAC
"7-4-2023 / Lyon, FR / Les Nuiots de Fourviere",FM,FLAC
"8-12-2023 / Queens, NY / Forest Hills (Schoeps MK41s) (spitback)",AUD,FLAC
"8-12-2023 / Queens, NY / Forest Hills Stadium (Nokia Lumia Icon) (viper)",AUD,FLAC
"9-22-2023 / Indianapolis, IN / TCU Amphitheater (SP-CMC-8) (live2cd)",AUD,FLAC
"11-12-2023 / Antwerpen, Belgium / Sportpaleis - Classic 21 (trebor) ",FM,FLAC
"12-15-2023 / San DIego, CA / Viejas Arena (Schoeps MK41) (ed davis)",AUD,FLAC 24
,,
[2024],,
"2-7-2024 / Tokyo, Japan / Tokyo Dome City Hall - WAV(M) (CA-11c) (unk)",AUD,FLAC 
"4-12-2024 / Ottawa, ON / Canadien Tire Center (iPhone 11) (palm0014)",AUD,FLAC 24
"5-26-2024 / Napa Valley, CA / Napa Valley Expo (Schoeps MK4s) (tj)",AUD,FLAC 24
"5-26-2024 / Napa Valley, CA / Napa Valley Expo (SP-CMC-8) (unk)",AUD,FLAC 24
"9-7-2024 / San Francisco, CA / Potrero del los Park (Schoeps MK4) (loughney)",AUD,FLAC 24