Soundgarden,Versions,File Type,
"2-15-2013 / Los Angeles, CA - The Wiltern (DPA 4061)",AUD,FLAC,
"2-16-2013 / Los Angeles, CA / The Wiltern",AUD,FLAC 24,
"2-17-2013 / Los Angeles, CA / The Wiltern (Schoeps MK41s) (blg)",AUD,FLAC,
"4-22-2013 / Royal Oak, MI / Fifth Avenue Ballroom (Acoustic in the Motor City)",FM,FLAC,
"4-23-2013 / Chicago, IL / Underground Lounge (Chris Cornell and Ben Shepherd)",AUD,FLAC,
"5-3-2013 / Atlantic City, NJ / Borgata Event Center (SP-CMC-2) (lou) ",AUD,FLAC 24,
"5-7-2013 / Atlanta, GA / The Tabernacle",AUD,FLAC,
"5-8-2013 / Atlanta, GA / The Tabernacle",AUD,FLAC,
"5-14-2013 / West Long Branch, NJ / Multipurpose Activity Center at Monmouth University",AUD,FLAC,
"5-17-2013 / Wallingford, CT / Oakdale Theatre",AUD,FLAC,
"5-18-2013 / Camden, NJ / Susquehana Bank Center",AUD,FLAC,
"5-21-2013 / St. Louis, MO / The Pageant",AUD,FLAC,
"5-25-20013 / Austin, TX / Austin Music Hall",AUD,FLAC,
"5-26-2013 / Dallas, TX / The Palladium Ballroom",AUD,FLAC 24,
"9-4-2013 / Helsinki, Finland / Hartwall Arena",AUD,FLAC,
"9-13-2013 / Manchester, England / 02 Apollo",AUD,FLAC,
"9-16-2013 / Dublin, Ireland / O2 Arena (M) (Edirol R-09HR) (unk)",AUD,FLAC,
,,,
[2014],,,
"3-3-2014 / Austin, TX / SXSW Festival",Webcast,TS,
"4-2-2014 / Buenos Aires, Argentina / Hipodromo de San Isidro - Lollapalooza",AUD,FLAC,
"4-6-2014 / Sao Paulo, Brazil / Lollapalooza",TV,TS,
"6-4-2014 / New York, NY / The Tonight Show Starring Jimmy Fallon",TV,TS,
"6-25-2014 / Stuttgart, Germany / Hanns-Martin-Schleyerhalle (MBHO KA 200)",AUD,FLAC,
"6-25-2014 / Stuttgart, Germany / Hanns-Martin-Schleyerhalle (CA-14)",AUD,FLAC,
"6-29-2014 / Dessel, Belgium / Graspop Metal Meeting - Main Stage",AUD,FLAC,
"7-4-2014 / London, England. British Summer Time 2014 - Hyde Park",AUD,FLAC,
"7-13-2014 / Montreal, Quebec / Le Metropolis",AUD,FLAC,
"7-18-2014 / Permberton, BC / Permberton Music Festival - Pemberton Stage (CA-14s) (unk)",AUD,FLAC 24,
"7-19-2014 / Las Vegas, NV / Live Axis at Planet Hollywood",MTX,FLAC 24,
"7-21-2014 / Morrison, CO / Red Rocks Amphitheatre",AUD,FLAC,
"7-22-2014 / Morrison, CO / Red Rocks Amphitheatre",AUD,FLAC 24,
"7-24-2014 / Tinley Park, IL / First Midwest Bank Amphitheatre",AUD,FLAC 24,
"7-26-2014 / Clarkston, MI / DTE Energy Music Theatre (CCM4) (ryanj)",AUD,FLAC 24,
"7-29-2014 / Mansfield, MA / Xfinity Center (AT853) (opsopcopolis)",AUD,FLAC,
"7-29-2014 / Mansfield, MA / Xfinity Center (Sony PCM-M10) (ec666)",AUD,FLAC,
"7-30-2014 / Camden, NJ / Susquehanna Bank Center (MK6) (dubbledee)",AUD,FLAC,
"8-10-2014 / West Palm Beach, FL / Cruzan Amphitheatre",AUD,FLAC,
"8-16-2014 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion",AUD,FLAC,
"8-21-2014 / Chula Vista, VA / Sleep Train Amphitheatre (MarcSounds) (mh)",AUD,FLAC,
"8-22-2014 / Irvine, CA / Irvine Meadows (MK41) (blg)",AUD,FLAC,
"8-24-2014 / Mountain View, CA / Shoreline Amphitheatre",AUD,FLAC,
"8-24-2014 / Mountain View, CA / Shoreline Amphitheatre",,FLAC,
"8-25-2014 / Los Angeles, CA / Hollywood Bowl (Schoeps MK41) (blg)",AUD,FLAC,
"8-25-2014 / Hollywood, CA / Hollywood Bowl (ALD + AT943) (unk)",MIX,FLAC,
"10-25-2014 / Mountain View, CA / Shoreline Amphitheatre",AUD,FLAC,
"10-26-2014 / Mountain View, CA / Shoreline Amphitheatre",AUD,FLAC,
,,,
[2015],,,
"2-21-2015 / Adelaide, Australia / Soundwave Festival",AUD,FLAC,
"2-22-2015 / Melbourne, Australia / Royal Melbourne Showgrounds",AUD,FLAC,
"2-24-2015 / Melbourne, Australia / Melbourne Festival Hall",AUD,FLAC,
"7-11-2015 / Kitchener, Ontario / McLennan Park - Big Music Festival",AUD,FLAC,
,,,
[2017],,,
"4-28-2017 / Tampa, FL / Amalie Arena - WXTB 98 Rockfest 2017",AUD,FLAC,
"4-29-2017 / Jacksonville, FL / Metro Park - Welcome to Rockville 2017",AUD,FLAC,
"5-3-2017 / Atlanta, GA / Fox Theatre",AUD,FLAC,
"5-6-2017 / Tuscaloosa, AL / Tuscaloosa Amphitheatre (ballsdeep)",AUD,FLAC,
"5-7-2017 / Memphis, TN / Tom Lee Park - FedEX Stage",AUD,FLAC,
"5-17-2017 / Detroit, MI / Fox Theatre",AUD,FLAC,*Chris Cornell's Final Show
,,,
[2022],,,
"9-27-2022 / Inglewood, CA / Kia Forum - Taylor Hawkins Tribute (SP-CMC-4U) (loughney)",AUD,FLAC,
,,,
,,,
[MISC],,,
1989-1992 Live Compilation,preFM,FLAC,
1989-1991 High Voltage (Hollywood Radio Show),,FLAC,
1985-XX-XX - Incessant Mace (Demo),,FLAC,
Live Rarities and a Demo (Compilation),,FLAC,
Soundgarden - Sony Music TV (1994),TV,MPG,
Fresh Deadly Rarities,,FLAC,
Stolen Prayers (Demos),,FLAC,
Soundgarden - Mindriot,Silver CD,FLAC,
Digging the Garden of Sound Demos & B-sides (TDR-047),Silver CD,FLAC,
Soundgarden - Garden Of Souls (1994) (AK054),Silver CD,FLAC,
Soundgarden - Stingray (1994) (CR-5),Silver CD,FLAC,
Soundgarden - In & Out of the Cage {HB010} (2016),Silver CD,FLAC,
Soundgarden - The Palladium 1991 (Live) {8717662590016}  (1991) ,Silver CD,FLAC,
Soundgarden - Crown Of Thorns {KTS-110-111} (1992) ,Silver CD,FLAC,
Soundgarden - Live 1992 {5060670649003} (2021) ,,FLAC,
,,,
,,,
[OFFICIAL RELEASES],,,
Soundgarden - Ultramega OK (1988) (Expanded Reissue 2017),,FLAC,
Soundgarden - Screaming Life {Sub Pop SP12} (1987),Vinyl Rip,FLAC,
Soundgarden - Fopp (24-96) {Sub Pop SP17} (1988),Vinyl Rip,FLAC,
Soundgarden - Screaming Life - Fopp (Remastered) (2013),,FLAC,
Soundgarden - Live & Alive (1989),,FLAC,
Soundgarden - Flower [EP] (1989),,FLAC,
Soundgarden - Hands All Over {CD 17969} (1989),,FLAC,
"Soundgarden - Louder Than Love (Pony Canyon Inc., Japan, PCCY-10004) (1989)",,FLAC,
Soundgarden - Badmotorfinger (with SOMMS) (1991),,FLAC,
Soundgarden - Poncier (1992),,FLAC,
Soundgarden - Jesus Christ Pose {AMY 862} (1992),Vinyl Rip,FLAC,
Soundgarden - Crown of Thorns (2CD) (1992),,FLAC,
"Soundgarden - Superunknown (A&M Records, Inc., Japan, POCM-1065) (1994)",,FLAC,
Soundgarden - Foreshocks (1994),,FLAC,
"Soundgarden - Down On The Upside (A&M Records, Japan, POCM-1168) (1996)",,FLAC,
Soundgarden - Down on The Upside + Down Under on The Upside (1996),,FLAC,
Soundgarden - A-Sides (1997),,FLAC,
Soundgarden - Telephantasm (2CD) (2010),,FLAC,
Soundgarden - Live On I-5 (2011),,FLAC,
Soundgarden - Before The Doors - Live On I-5 {B0015418-72} (2011),,FLAC,
Soundgarden - King Animal {2012. U.S. Deluxe Edition} (2012),,FLAC,
Soundgarden - Echo Of Miles (3CD) (2014),,FLAC,
Soundgarden - Live from the Artist's Den (DVD),,MKV,
,,,
,,,
[SINGLES],,,
Soundgarden - Flower {SST CD 231} (1989),,FLAC,
Soundgarden - Rusty Cage {580 022-2 Australia} (1991),,FLAC,
Soundgarden - Rusty Cage {390 874-2} (1992),,FLAC,
"Soundgarden - Outshined {AMCD 0102, 580102-2} (1992) ",,FLAC,
Soundgarden - Outshined (Australasia) {AMCD 0102} (1992) ,,FLAC,
Soundgarden - Fell on Black Days - Black Disc (US - A&M Records 5808972 - 1994) (1994),,FLAC,
Soundgarden - Black Hole Sun (580 737-2) (CD1) (1994),,FLAC,
Soundgarden - Black Hole Sun (580 623-2) (CD2) (1994),,FLAC,
Soundgarden - The Day I Tried To Live (CDS) (1994),,FLAC,
Soundgarden - The Day I Tried to Live (GB - A&M Records 580 595-2 - 1994-04-15) (1994),,FLAC,
Soundgarden - My Wave {5808492} (1994) ,,FLAC,
Soundgarden - Spoonman {580 526-2} (1994) ,,FLAC,
Soundgarden - Spoonman {580 539-2} (1994),,FLAC,
Soundgarden - Fell on Black Days (AU - A&M Records 580 927-2) (CD1) (1995),,FLAC,
Soundgarden - Fell on Black Days (580-897-2) (CD1) (1995),,FLAC,
Soundgarden - Fell on Black Days (580-931-2) (CD2) (1995),,FLAC,
Soundgarden - Fell on Black Days (Disc 2) (GB - A&M Records 580947-2 - 1995) (1995),,FLAC,
Soundgarden - Fell On Black Days (590 897-2) (EU) (1995),,FLAC,
Soundgarden - Blow Up the Outside World (GB - A&M Records 581 987-2 - 1996-12-13) (1996),,FLAC,
Soundgarden - Burden In My Hand {581 854-2} (CD1) (EU) (1996),,FLAC,
Soundgarden - Burden in My Hand {581 807-2} (1996),,FLAC,
Soundgarden - Burden in My Hand {581 855-2} (1996) ,,FLAC,
Soundgarden - Ty Cobb {5822112} (1997),,FLAC,
,,,
,,,
[HD],,,
Soundgarden - Screaming Life (Sub Pop - SP12) (1987) (24/192 Vinyl Rip),,FLAC HD,
Soundgarden - Ultramega OK (SST Records - SST 201) (1988) (24/192 Vinyl Rip),,FLAC HD,
Soundgarden - Louder Than Love (A&M Records - AMA 52522) (1989) (24/192 Vinyl Rip) ,,FLAC HD,
Soundgarden - Screaming Life/Fopp (Remaster) (24/96),,FLAC HD,
Soundgarden - Ultramega OK (24/44.1),,FLAC HD,
Soundgarden - Louder Than Love 1989 (2016) (24/192),,FLAC HD,
Soundgarden - Badmotorfinger - 25th Anniversary (24/48) ,,FLAC HD,
Soundgarden - Superunknown (20th Anniversary Edition) HDTracks (1994) (24/192),,FLAC HD,
Soundgarden - Superunknown (Deluxe Edition) (1994) (2014) (24/96) ,,FLAC HD,
Soundgarden - Down On The Upside (3145405261 (1996) (24/96),,FLAC HD,
,,,
,,,
,,,
,,,
Chris Cornell,Versions,File Type,
Drive - F,,,
,,,
,,,
[1999],,,
"9-13-1999 / Cambridge, MA / Sanders Theatre",AUD,FLAC,
"9-14-1999 / New York, NY / Town Hall",AUD,FLAC,
"9-22-1999 / Hollywood, CA / Henry Fonda Theatre",AUD,FLAC,
"11-14-1999 / New York, NY / Beacon Theatre",AUD,FLAC,
"11-18-1999 / Cleveland, OH / The Odeon",AUD,FLAC,
"11-21-1999 / Atlanta, GA / Cat's Paw Studios - 99X Live X WNNX 99.7",FM,FLAC,
"11-29-1999 / Sacramento, CA / Community Center Theater (ECM-MS-907) (big d.) ",AUD,FLAC,
"12-3-1999 / Los Angeles, CA / Wiltern Theatre",AUD,FLAC,
,,,
[2000],,,
"2-11-2000 / Salt Lake City, UT /- Kingsbury Hall (ECM MS-907) (big d.)",AUD,FLAC,
"2-12-2000 / Denver, CO / Paramount Theater",SBD,FLAC,
,,,
[2006],,,
"9-5-2006 / Hilversum, The Netherlands / Bnn Bar",?,FLAC,
"9-7-2006 / Stockholm, Sweden / O-Baren",FM,FLAC,
"9-16-2006 / Hilversum, The Netherlands / Bnn Bar (stephen bladt)",FM,FLAC,
"12-20-2006 / London, UK / BBC Radio One",FM,FLAC,
,,,
[2007],,,
"4-8-2007 / Minneapolis, MN / First Avenue (Core Sound Stealthy) (crazyafroman & bob20)",AUD,FLAC 24,
"4-13-2007 / Toronto, Ontario / Intimate and Interactive - Much Music Studios",TV,DVD,
"4-14-2007 / Toronto, Ontario / Phoenix Concert Theatre",AUD,FLAC,
"4-15-2007 / Toronto, Canada - MuchMusicStudios",AUD,DVD,
"5-8-2007 / Seattle, WA / Fenix",Webcast,FLAC,
"5-20-2007 / Berlin, Germany / Kesselhaus",FM,FLAC,
"7-17-2007 / Milwaukee, WI / Eagles Ballroom - Rave",AUD,FLAC,
"7-18-2007 / Chicago, IL / Congress Theatre",AUD,FLAC,
"8-29-2007 / Helsinki, Finland / Icehall *Whole Lotta Cornell (borlag)",AUD,FLAC,
"9-3-2007 / London, England / Camden Roundhouse - DAT(M) (EM8) (gary watson)",AUD,FLAC,
"10-3-2007 / Seattle, WA / Paramount Theater (pingmon)",AUD,FLAC,
"12-8-2007 / Buenos Aires, Argentina / Club Ciudad",AUD,FLAC,
,,,
[2008],,,
"10-29-2008 / Santa Cruz, CA / The Catalyst",AUD,FLAC,
,,,
[2009],,,
"2-27-2009 / Berlin, Germany / Columbia Club",AUD,FLAC,
"4-1-2009 / Atlanta, GA / Center Stage",FM,FLAC,
"4-13-2009 / Cleveland, OH / House of Blues",AUD,FLAC,
"4-17-2009 / Milwaukee, WI / Pabst Theater (mk4) (tapeworm48)",AUD,FLAC,
"4-25-2009 / Salt Lake City, UT / The Depot (DPA 4061s) (geordy)",AUD,FLAC,
"5-30-2009 / Landgraaf, The Netherlands / Pinkpop Festival",SBD,FLAC,
"6-7-2009 / Nurburg, Germany / Nurburgring - Rock am Ring",PRO,DVD,
,,,
[2011],,,
"4-2-2011 / Houston, TX / House of Blues",AUD,FLAC,
"4-22-2011 / Chicago, IL / Vic Theatre",AUD,FLAC,
"4-23-2011 / Milwaukee, WI / Pabst Theatre",AUD,FLAC,
"4-24-2011 / St. Paul, MN / Fitzgerald Theater *I Don't Smoke Weed Anymore",AUD,FLAC,
"4-29-2011 / Victoria, Canada / Royal Theatre (GE 3-5350A)",AUD,FLAC,
"4-30-2011 / Coquitlam, BC / Boulevard Casino (CA-11) (dennis orr)",AUD,FLAC 24,
"5-1-2011 / Seattle, WA / Moore Theater",AUD,FLAC,
"5-4-2011 / Hollywood, CA / John Anson Ford Amphitheatre",AUD,FLAC,
"10-10-2011 / Perth, Australia / Concert Hall",AUD,FLAC 24,
"10-11-2011 / Perth, Australia / Concert Hall",AUD,FLAC,
"11-9-2011 / Buenos Aires, AR / Teatro Grean Rex (MM-MCSM-4) (rony kohn)",AUD,FLAC,
"11-13-2011 / Paulinia, Brazil  Parque Brasil 500",PRO,DVD,
"11-18-2011 / Ridgefield, CT / Ridgefield Playhouse",AUD,FLAC,
"12-10-2011 / Salina, KS / Stiefel Theatre",AUD,FLAC,
"12-15-2011 / San Francisco, CA / Palace of Fine Arts (unk)",AUD,FLAC,*Lossy
"12-15-2011 / San Francisco, CA / Palace of Fine Arts headphone mic) (armogi)",AUD,FLAC,
,,,
[2012],,,
"5-16-2012 / Miami Beach, FL / The Fillmore",AUD,FLAC,
"5-18-2012 / Gulf Shores, AL / Hangout Festival",SBD,FLAC,
"5-20-2012 / Nashville, TN / War Memorial Auditorium",AUD,FLAC,
"6-22-2012 / Paris, France / Le Trianon",AUD,FLAC,
"6-29-2012 / Florence, Italy / Cavea del Nuovo Teatro dell'Opera",AUD,FLAC,
"11-12-2012 / New York, NY / Bowery Ballroom (unk)",AUD,FLAC,
,,,
[2013],,,
"10-15-2013 / San Diego, CA / Balboa Theatre",AUD,FLAC,
"10-18-2013 / San Francisco, CA / Nob Hill Masonic Auditorium",AUD,FLAC,
"10-22-2013 / Victoria, BC / Farquhar Auditorium (Zoom H2) (jason)",AUD,FLAC,
"10-23-2013 / Vancouver, BC / Orpheum Theatre",AUD,FLAC,
"11-1-2013 / Chicago, IL / Cadillac Palace Theater",AUD,FLAC,
"11-2-2013 / Madison, WI / Orpheum Theater",AUD,FLAC,
,,,
[2015],,,
"2-21-2015 / Adelaide, AUS / Soundwave Festival (SP-CMC-25) (godzogolfball)",AUD,FLAC,
"9-20-2015 / Los Angeles, CA / Walt Disney Concert Hall (unk) ",AUD,FLAC,
"9-26-2015 / Oakland, CA / Paramount Theatre",AUD,FLAC,
"9-27-2015 / Modesto, CA / Gallo Center for the Arts",AUD,FLAC,
"9-29-2015 / Seattle, WA / Benaroya Hall",AUD,FLAC,
"10-6-2015 / Chicago, IL / Chicago Theatre",AUD,FLAC,
"10-6-2015 / Chicago, IL / Chicago Theatre",,FLAC,
"10-7-2015 / Chicago, IL / The Chicago Theatre",AUD,FLAC,
"12-3-2015 / Canberra, Australia / Llewellyn Hall",AUD,FLAC,
,,,
[2016],,,
"4-12-2016 / Vienna, Austria / Wiener Konzerthaus",AUD,FLAC,
"4-22-2016 / Paris, France / Le Trianon",AUD,FLAC,
"4-27-2016 / Manchester, UK / Bridgewater Hall",AUD,FLAC,
"5-14-2016 / Copenhagen, Denmark / Konserthuset",AUD,FLAC,
"6-17-2016 / Jacksonville, FL / Florida Theater",AUD,FLAC,
"6-25-2016 / Port Chester, NY / Capitol Theatre",SBD,FLAC,
"7-3-2016 / Highland Park, IL / Ravinia",AUD,FLAC 24,
"7-5-2016 / Madison, WI / Overture Center for the Arts",AUD,FLAC,
"7-9-2016 / Indianapolis, IN / Murat Theatre",AUD,FLAC,
"12-2-2016 / Lima, Peru / Huaca Pucllana",AUD,FLAC,
,,,
[2019],,,
"1-16-2019 / Inglewood, CA / The Forum - Chris Cornell Tribute ",AUD,FLAC,
"1-16-2019 / Inglewood, CA / The Forum - Chris Cornell Tribute ",AUD,FLAC,
,,,
,,,
[MISC],,,
Chris Cornell - Nissan Live Sets on Yahoo Music (2007) {YM 070404},,FLAC,
Chris Cornell - Songbook (Best Buy Exclusive) (2011),,FLAC,Official Release
Chris Cornell - The Other Songs (2019),,FLAC+MP3,
Chris Cornell - The Roads We Choose - A Retrospective (2007),,FLAC,Official Release
,,,
,,,
,,,
Audioslave,Versions,File Type,
Drive - F,,,
,,,
,,,
[2002],,,
"8-23-2002 / Auburn, WA / White River (SP-BMC-3)",AUD,FLAC,
"11-25-2002 / New York, NY / Ed Sullivan Theatre (ABC TV)",TV,FLAC,
"11-25-2002 / New York, NY / Ed Sullivan Theatre (ABC TV)",PRO,TS,
"12-7-2002 / Los Angeles, CA / Universal Amphitheatre - KROQ Almost Acoustic Christmas (WW1-#03-14)",SBD,FLAC,
"12-12-2002 / Uniondale, NY / Nassau Coliseum (Sony MDR-W08)",AUD,FLAC,
,,,
[2003],,,
"1-14-2003 / Paris, France / Theatre de l'Olympia (remi joubaud)",AUD,FLAC,
"1-17-2003 / London, England / XFM Studios (Interview) - DAT(M) (SBD #1) (gary watson)",FM,FLAC,
"1-17-2003 / London, England / The Astoria (bungeyjumper)",AUD,FLAC,
"1-22-2003 / Milan, Italy / Alcatraz (ECM-717)",AUD,FLAC,
"1-30-2003 / Tokyo, Japan / Zepp",AUD,FLAC,
"2-21-2003 / Denver, CO / The Fillmore",AUD,FLAC,
"2-23-2003 / Minneapolis, MN / First Avenue (the fridge)",AUD,FLAC,
"2-26-2003 / Chicago, IL / Riviera Theater ",AUD,FLAC,
"2-27-2003 / Chicago, IL / Riviera Theater",AUD,SHN,
"2-28-2003 / Detroit, MI / State Theater (Sony ECM-D80Z0P)",AUD,FLAC,
"3-3-2003 / Boston, MA / The Avalon Ballroom (ed and ct)",AUD,FLAC,
"3-4-2003 / Boston, MA / The Avalon Ballroom",AUD,FLAC,
"3-5-2003 / Atlanta, GA / The Tabernacle (jcrab66)",AUD,FLAC,
"3-6-2003 / New York, NY / Hammerstein Ballroom (SS DSM6s)",AUD,FLAC,
"3-7-2003 / Philadelphia, PA / The Electric Factory - AUD(M) (Coresound)",AUD,FLAC,
"3-7-2003 / Philadelphia, PA / Electric Factory - DAT(M) (Gefell M20) (jlizard) ",AUD,FLAC,
"3-12-2003 / Dallas, TX / Bronco Bowl (chris m. master)",AUD,FLAC,
"3-14-2003 / Mesa, AZ / Mesa Amphitheater (CSB)",AUD,FLAC,
"3-15-2003 / Las Vegas, NV / The Joint (ed davis)",AUD,FLAC,
"3-19-2003 / San Francisco, CA / The Warfield (CSC)",AUD,SHN,
"4-19-2003 / Auckland, NZ / Town Hall (karl rice)",AUD,SHN,
"4-23-2003 / Sydney, Australia / Hordern Pavilion (Sony EC10)",AUD,FLAC,
"5-24-2003 / Washington, D.C. / HFStival (Nakamichi 300s)",AUD,SHN,
"5-29-2003 / Lisboa, Portugal / Estadio Jose de Alvalade (SU-V500)",AUD,FLAC,
"5-31-2003 / Madrid, Spain / Festimad (ECM-719)",AUD,FLAC,
"6-2-2003 / Bologna, Italy / Arena Parco Nord",AUD,FLAC,
"6-7-2003 / Nurburgring, Germany / Rock am Ring (galexanders)",TV,TS,
"6-8-2003 / Nuremburg, Germany / Rock im Park (axel)",FM,FLAC,
"6-9-2003 / Landgraaf, The Netherlands / Megaland - Pinkpop",FM,FLAC,
"6-11-2003 / Paris, France / Le Zenith",AUD,FLAC,
"6-14-2003 / Hultsfred, Sweden / Hultsfred Festival",FM,FLAC,
"7-3-2003 / Milwaukee, WI / Marcus Amphitheatre (Lollapalooza) (ls)",AUD,SHN,
"7-5-2003 / Noblesville, IN / Verizon Wireless Music Center (dt)",AUD,FLAC,
"7-11-2003 / Milwaukee, WI / Marcus Amphitheatre (Lollapalooza) (ko)",AUD,FLAC,
"7-12-2003 / Chicago, IL / New World Music Theatre (Lollapalooza)",AUD,SHN,
"7-19-2003 / Burgettstown, PA / Post-Gazette Pavilion (SM98) (cps)",AUD,FLAC,
"7-25-2003 / Boston, MA / Great Wood Amphitheatre (ECM 717)",AUD,FLAC,
"7-27-2003 / Camden, NJ / Tweeter Center for the Performing Arts",SBD,SHN,
"7-27-2003 / Camden, NJ / Tweeter Center for the Performing Arts",PRO,DVD,
"7-30-2003 / Wantagh, NY / Jones Beach Amphitheater (Lollapalooza) (MarcSounds)",AUD,FLAC,
"8-1-2003 / Bristow, VA / Nissan Pavilion (SP-TFB-2s)",AUD,FLAC,
"8-3-2003 / Atlanta, GA / HiFi Buys Amphitheatre - DAT(M) (DPA 4061s) (pjdave)",AUD,FLAC,
"8-3-2003 / Atlanta, GA / HiFi Buys Amphitheatre - Lollapalooza - DAT(M) (AT-853) (cal evans)",AUD #2,FLAC,
"8-8-2003 / Dallas, TX / Smirnoff Music Centre - Lollapalooza (asthma77) (inc)",AUD,FLAC,
"8-12-2003 / Albuquerque, NM / Journal Pavilion (CSB)",AUD,FLAC,
"8-13-2003 / Denver, CO / Fiddler's Green (Lollapalooza) (taperbt)",AUD,FLAC,
"8-15-2003 / Phoenix, AZ / Cricket Pavilion (CSB)",AUD,FLAC,
"8-16-2003 / Irvine, CA / Verizon Wireless Amphitheatre (DAB) (cavis3208)",AUD,FLAC,
"8-17-2003 / Chula Vista, CA / Coors Amphitheatre - DAT(M) (Oade Brothers) (the ramblin taper)",AUD,FLAC,
"8-19-2003 / Mountain View, CA / Shoreline Amphitheatre (Lollapalooza) (michele)",AUD,SHN,
"12-7-2003 / Los Angeles, CA - KXXR Radio Takeover",FM,FLAC,
,,,
[2005],,,
"4-15-2005 / Phoenix, AZ / Dodge Theater (DPA 4061)",AUD,FLAC,
"4-22-2005 / Chicago, IL / Aragon Ballroom (DPA 4061) (tapeworm48) ",AUD,FLAC,
"4-26-2005 / Toronto, Ontario / Kool Haus (MK4v)",AUD,FLAC,
"5-1-2005 / Washington, D.C. / 9:30 Club (unk)",AUD,FLAC,
"5-18-2005 / Hollywood, CA / Jimmy Kimmel Live (DSM6) (unk)",AUD,FLAC,
"5-21-2005 / Irvine Meadows, CA / KROQ Weenie Roast",SBD,FLAC,
"5-26-2005 / Lisbon, Portugal / Super Bock Super Rock Festival (ECM-T145)",AUD,FLAC,
"6-4-2005 / Cardiff, Wales / Cardiff International Arena (johnky)",AUD,FLAC,
"6-4-2005 / Cardiff, Wales / Cardiff International Arena (Shure Cardiods + Icom IC-R5)",MTX,FLAC,
"6-9-2005 / Nickelsdorf, Austria / Pannonia Fields (DPA4061) (mg)",AUD,FLAC,
"6-10-2005 / Newhausen ob Eck, Germany / Southside Festival - Flugplatz (OKM-IIr)",AUD,FLAC,
"6-17-2005 / Paris, France / Le Zenith (xwayne)",AUD,FLAC,
"6-27-2005 / Stockholm, Sweden / Hovet - MD(M) (ECM-DS70P) (andreas magnusson)",AUD,FLAC,
"7-1-2005 / Roskilde, Denmark / Roskilde Festival - Orange Stage (CSC) (jtl)",AUD,FLAC,
"7-5-2005 / Montreux, Switzerland / Miles Davis Hall (thir13en remaster)",FM,APE,
"7-5-2005 / Montreux, Switzerland / Miles Davis Hall (jungle brother)",FM,FLAC,
"7-5-2005 / Montreux, Switzerland / Miles Davis Hall (jzingapoor)",FM,FLAC,
"7-5-2005 / Montreux, Switzerland / Miles Davis Hall (DVB-S)",PRO,DVD,
"10-25-2005 / Duluth, GA / Gwinett Arena",AUD,FLAC,
"10-28-2005 / Camden, NJ / Tweeter Center (cps)",AUD,FLAC,
"10-29-2005 / New York, NY / Madison Square Garden",AUD,FLAC,
"11-1-2005 / Hartford, CT / The Dodge (ECM-717)",AUD,FLAC,
"11-7-2005 / Chicago, IL / UIC Pavilion (Schoeps MK4) (tapeworm48)",AUD,FLAC,
,,,
[2019],,,
"1-16-2019 / Inglewood, CA / The Forum (AT831s) (tapeworm48) ",AUD,FLAC,
,,,
[MISC],,,
Rage Against the Machine feat Chris Cornell – Civilian (The Demos) [Silver],Silver CD,FLAC,