The Beatles,Versions,,File Type
Drive - B,,,
,,,
,,,
[1963],,,
"4-4-1963 / Buckinghamshire, England, UK / Roxburgh Hall - Stowe School (John Bloomfield-EVSD-Goody) CD1",Silver CD,,FLAC
"4-4-1963 / Buckinghamshire, England, UK / Roxburgh Hall - Stowe School (John Bloomfield-EVSD-Goody) CD2",Silver CD,,FLAC
,,,
[1964],,,
"8-23-1964 / Hollywood, CA / Live At the Hollywood Bowl",SBD,,FLAC
"9-2-1964 / Philadelphia, PA / Convention Hall *Philadelphia 1964 Off Reel",preFM,,FLAC
9-2-1964 / Philadelphia PA / Convention Hall (Mono Reel) (24.96) (2022) (krw_co transfer),SBD,,FLAC
"9-3-1964 / Indianapolis, IN / State Fair",SBD,,FLAC
"9-3-1964 / Indianapolis, IN / State Fair Coliseum (krw_co)",SBD,,FLAC 24
,,,
[1965],,,
"8-1-1965 / Paris, France / Palais Des Sports (Afternoon & Evening Show)",Vinyl,,FLAC
"8-15-1965 / New York, NY / Shea Stadium  *The Great Concert at Shea! (HMC 001-b)",Silver CD,,FLAC
"8-19-1965 / Houston, TX / Houston Coliseum (Afternoon/Evening Show) *The Live Beatles (BGCD-034)",Silver CD,,FLAC
,,,
[1966],,,
3-XX-1966 / Interview 1966 for Print Article,Reel,,FLAC
"6-24-1966 / Munich, Germany / Circus-Krone-Bau ",SBD,,FLAC
"6-25-1966 / Essen, W. Germany / Grugahalle",SBD,,FLAC
"6-30-1966 / Tokyo, Japan / Budokan Hall *Five Nights in a Judo Arena (TSP 011)",Vinyl,,FLAC
"8-29-1966 / San Francisco, CA / Candlestick Park (Last show)",SBD,,FLAC
,,,
[1969],,,
1-30-1969 / *The Complete Rooftop Concert (The Let It Be Reheasals) (YD015),Silver CD,,FLAC
,,,
[MISC],,,
Let It Be Film,,,DVD
Let It Be Film (Fullscreen 16mm Stereo Version),,,DVD
Get Back,,,DVD
Esher Acoustic Demos (1968),,,FLAC
1969 Beatles - Jamming With Heather,,,FLAC
Beatles for Sale - Back to Basics (Helter Skelter Records - HSR12-HSR13),,,FLAC
1968 - Peter Seller's Tape - White Album Early Mix (Masterdisc MDCD001),,,FLAC
1969 River Rhine Tapes,,,
12 Days at Twickenham (Volumes 1-9),,,FLAC
The 1968 Demos (Howdy Records CD 555-04),,,FLAC
The Beatles - Covers Project (5 Volumes),,,FLAC
The Beatles 50 Volume 1 ,,,FLAC
The Beatles Live - SW3,Silver CD,,FLAC
The Black Album (Different Version),Sllver CD,,FLAC
Alternate Revolver (Walrus 021),,,FLAC
Alternative Rubber Soul Versions,,,FLAC
The Making of Sgt. Pepper (BR007-78),,,FLAC
The Lost Pepperland Reel And Other Rarities,,,FLAC
Arrive Without Aging (Vigotone VT-6869),,,FLAC
Arrive Without Travelling (Remaster Edition),,,FLAC
Abbey Road Talks,,,FLAC
Anthology Plus,,,FLAC
Odds and Sods Vol. 3,,,FLAC
The Ultimate Home Demo Collection (7 Volumes),,,FLAC
The Ultimate Home Live Collection (24 Volumes),,,FLAC
Turn Me On Dead Man,,,
You Become Naked Vol. 1&2 (Medusa MD-014/15),,,FLAC
Great Scott! It's... The Beatles (6 CDs) (MJ1502),,,FLAC
Bare It All - The Complete Personal Recordings of EMI Engineer John Barrett (5 CDs),Silver CD,,FLAC
The Ultimate Beatles' Christmas Collection [Vigotone],Silver CD,,FLAC
Magical Mystery Tour Songtrack (MER-1503),Silver CD ,,FLAC
Mythology (11 CDs) (Strawberry Records 008-018),Silver CD,,FLAC
We've Got the Combs - JFC-002/003,Silver CD,,FLAC
The Other Way of Crossing - SMO200969,Silver CD,,FLAC
"The Beatles - Kum Back (Non-Equalizing, Pitch Correction) (Matrix Number 775 Side 1-2)",,,FLAC
The Beatles - Winter of Discontent,,,DVD
The Beatles (1992) - Vintage Songs (Limited Edition),SBD,,FLAC
Back Track Vol 1,,,FLAC
Back Track Vol 2,,,FLAC
Back Track Vol 3,,,FLAC
Back Track Vol 4,,,FLAC
Back Track Vol 5,,,FLAC
Back Track Vol 6,,,FLAC
,,,
RMW 629 - Secret Songs In Pepperland (Remasters Workshop),,,FLAC
"RMW 629 - 1966-06-30 Tokyo, Japan - Budokan (Remasters Workshop)",,,FLAC
RMW 661 - Unsurpassed Masters v1 (Remasters Workshop),,,FLAC
RMW 662 - Unsurpassed Masters v2 (Remasters Workshop),,,FLAC
RMW 663 - Unsurpassed Masters v3 (Remasters Workshop),,,FLAC
RMW 664 - Unsurpassed Masters v4 (Remasters Workshop),,,FLAC
RMW 665 - Unsurpassed Masters v5 (Remasters Workshop),,,FLAC
RMW 666 - Unsurpassed Masters v6 (Remasters Workshop),,,FLAC
RMW 667 - Unsurpassed Masters v7 (Remasters Workshop),,,FLAC
,,,
Condor 1986 - Not For Sale,,,FLAC
Condor 1987 - Dig It!,,,FLAC
Condor 1988 - Strawberry Fields Forever,,,FLAC
Condor 1989 - Not Guilty,,,FLAC
Condor 1990 - Hold Me Tight,,,FLAC
Condor 1991 - Sessions,,,FLAC
,,,
The Beatles - Meet the Threetles - PC Compilation,,PC 060,FLAC
The Beatles - I Hope We Passed The Audition,Silver CD,PC 067,FLAC
The Beatles - Strong Before Our Birth,Silver CD,PC 068,FLAC
The Beatles - The Complete BBC Sessions - 2004 Upgrade (11 CDs),Silver CD,PC 071-080,FLAC
The Beatles - Deluxe Edition - Please Please Me ,Silver CD,PC 102-103,FLAC
The Beatles - With The Beatles,Silver CD,PC 104-106,FLAC
The Beatles - Deluxe Edition - A Hard Day's Night,Silver CD,PC 107-109,FLAC
The Beatles - Beatles For Sale,Silver CD,PC 110-112,FLAC
The Beatles - Deluxe Edition - Help!,Silver CD,PC 113-115,FLAC
The Beatles - Deluxe Edition - Rubber Soul,Silver CD,PC 116-118,FLAC
The Beatles - Deluxe Edition - Revolver,Silver CD,PC 119-121,FLAC
The Beatles - Deluxe Edition - Sgt Pepper,Silver CD,PC 122-125 & 153,FLAC
The Beatles - Deluxe Edition - Magical Mystery Year,Silver CD,PC 127-130,FLAC
The Beatles - Deluxe Edition - The Beatles,Silver CD,PC 131-142,FLAC
The Beatles - Deluxe Edition - Let It Be,Silver CD,PC 143-148,FLAC
The Beatles - Deluxe Edition - Abbey Road,Silver CD,PC 149-151,FLAC
The Beatles - Deluxe Edition - From Then to You,Silver CD,PC 152,FLAC
The Beatles - Deluxe Edition - Songs Lennon and McCartney Gave Away,Silver CD,PC 154,FLAC
The Beatles - Deluxe Edition - Live at the Hollywood Bowl,Silver CD,PC 155-156,FLAC
The Beatles - Live 01 - 1962 Star Club,Silver CD,PC 157-158,FLAC
The Beatles - Live 02 - 1963 Before America,Silver CD,PC 159-160,
The Beatles - Live 03 - 1964 Conquering America,Silver CD,PC 161-162,FLAC
The Beatles - Live 04 - 1964 Adelaide Reaction,Silver CD,PC 163-164,FLAC
The Beatles - Live 05 - 1965 Seattle Down Now,Silver CD,PC 165-166,FLAC
The Beatles - Live 06 - 1965 Convention Hall Wisdom,Silver CD,PC 167-168,FLAC
The Beatles - Live 07 - 1965 Les beatles en europe,Silver CD,PC 169-170,FLAC
The Beatles - Live 08 - 1965 Sheaken not stirred,Silver CD,PC 171-172,FLAC
The Beatles - Live 09 - 1965 Bowled Over,Silver CD,PC 173-174,FLAC
The Beatles - Live 10 - Far East Men,Silver CD,PC 175-176,FLAC
The Beatles - Live 11 - The Last Tour,Silver CD,PC 177-178,FLAC
The Beatles - Live 12 - The Launch Interruption,Silver CD,PC 179-180,FLAC
,,,
Silent Sea SS001 - Attack Of The Filler Beebs Episode 1 - The Beginning,Silver CD,,FLAC
Silent Sea SS002 - Attack Of The Filler Beebs Episode 2 - The Middling,Silver CD,,FLAC
Silent Sea SS003 - Attack Of The Filler Beebs Episode 3 - The Very End,Silver CD,,FLAC
Silent Sea SS005 - Anthropology,Silver CD,,FLAC
Silent Sea SS006 - Farewell To Clubland,Silver CD,,FLAC
Silent Sea SS025 - In Concert - Liverpool 1963-12-07 - Washington 1964-02-11,Silver CD,,FLAC
Silent Sea SS047-48 - In Concert - Hamburg 1962-12-25 - Hamburg 1962-12-28 - Hamburg 1962-12-31,Silver CD,,FLAC
Silent Sea SS053-56 - Broadcasts One - Pop Go The Beatles,Silver CD,,FLAC
Silent Sea SS057-58 - One Before 911,Silver CD,,FLAC
Silent Sea SS064 - Stereo '65,Silver CD,,FLAC
Silent Sea SS065-66 - Broadcasts Two - From Us To You,Silver CD,,FLAC
Silent Sea SS073-75 - Broadcasts Three - Saturday Club,Silver CD,,FLAC
Silent Sea SS076-77 - Complete Home Recordings v1 1958-62,Silver CD,,FLAC
Silent Sea SS078 - Complete Home Recordings v2 1963,Silver CD,,FLAC
Silent Sea SS079 - Complete Home Recordings v3 1964-66,Silver CD,,FLAC
Silent Sea SS080 - Complete Home Recordings v4 1967-68,Silver CD,,FLAC
Silent Sea SS081 - Complete Home Recordings v5 1968,Silver CD,,FLAC
Silent Sea SS082 - Complete Home Recordings v6 1968-69,Silver CD,,FLAC
Silent Sea SS083 - Broadcasts Four - Top Gear!,Silver CD,,FLAC
Silent Sea SS092-93 - Broadcasts Five - Here We Go!,Silver CD,,FLAC
Silent Sea SS094-98 - George Harrison The Art Of Dying,Silver CD,,FLAC
Silent Sea SS101 - Broadcasts Six - Where It's At!,Silver CD,,FLAC
Silent Sea SS102 -103 - Sessionography One,Silver CD,,FLAC
Silent Sea SS117 -118 - Playback One,Silver CD,,FLAC
Silent Sea SS119 -120 - Playback Two,Silver CD,,FLAC
Silent Sea SS121 -122 - Playback Three,Silver CD,,FLAC
Silent Sea SS123 -124 - Playback Four,Silver CD,,FLAC
Silent Sea SS129 -130 - Sessionography Two,Silver CD,,FLAC
Silent Sea SS131 -132 - Sessionography Three,Silver CD,,FLAC
Silent Sea SS133 -134 - Sessionography Four,Silver CD,,FLAC
Silent Sea SS141 - Broadcasts Seven - Ticket To Ride!,Silver CD,,FLAC
,,,
Lazy Tortoise 01 - April To August 1963,,,FLAC
Lazy Tortoise 02 - October 1963,,,FLAC
Lazy Tortoise 03 - November 1963,,,FLAC
Lazy Tortoise 04 - December 1963,,,FLAC
Lazy Tortoise 05 - From London To Paris 1964,,,FLAC
Lazy Tortoise 06 - February To April 1964,,,FLAC
Lazy Tortoise 07 - 16 April 1964 To 23 April 1964,,,FLAC
Lazy Tortoise 08 - 25 April 1964 To 26 April 1964,,,FLAC
Lazy Tortoise 09 - 27 April 1964 To 30 May 1964,,,FLAC
Lazy Tortoise 10 - 3 June 1964 To 6 June 1964 Denmark & The Netherlands,,,FLAC
Lazy Tortoise 11 - 7 June 1964 To 10 June 1964 Hong Kong,,,FLAC
Lazy Tortoise 12 - Australian-New Zealand Tour Diary 1964,,,FLAC
Lazy Tortoise 13 - July 1964,,,FLAC
Lazy Tortoise 14 - France 1965,,,FLAC
Lazy Tortoise 15 - From Rome To Blackpool 1965,,,FLAC
Lazy Tortoise 16 - North American Tour Diary August 1965 [08],,,FLAC
Lazy Tortoise 17 - September 1965 To March 1966,,,FLAC
Lazy Tortoise 18 - March 1966 To June 1966,,,FLAC
Lazy Tortoise 19 - Germany 1966,,,FLAC
Lazy Tortoise 20 - From Tokyo To London 1966,,,FLAC
Lazy Tortoise 21 - North American Tour Diary August 1966,,,FLAC
Lazy Tortoise 22 - September 1966 To February 1967,,,FLAC
Lazy Tortoise 23 - Interviews 1967,,,FLAC
Lazy Tortoise 24 - October 1967 To 15 March 1968,,,FLAC
Lazy Tortoise 25 - Interviews 1968,,,FLAC
Lazy Tortoise 26 - The Ballad Of John And Yoko,,,FLAC
Lazy Tortoise 27 - 12 - 18 September 1969,,,FLAC
,,,
Ultra Rare Trax Volume 1 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 2 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 3 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 4 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 5 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 6 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 7 [Swingin' Pig],,,FLAC
Ultra Rare Trax Volume 8 [Swingin' Pig],,,FLAC
,,,
MasterJedi - From Kinfauns With Love (MJ1607),,,FLAC
MasterJedi - Great Scott! It's... The Beatles (6 CDs) (v2019) (M1502),,,FLAC
MasterJedi - Last Lacquers (MJ1609),,,FLAC
MasterJedi - Orphans of the Revolution (MJ1307),,,FLAC
MasterJedi - Rockin' Reel (MJ1602),,,FLAC
MasterJedi - Rubber Soul remix (MJ1410),,,FLAC
MasterJedi - Sgt. Pepper remix (v2013) (MJ1210v3),,,FLAC
MasterJedi - The Cavern Tapes Circa 1962 (MJ1407),,,FLAC
MasterJedi - The Peter Sellers Tape (v2016) (MJ1601),,,FLAC
MasterJedi - The WBCN Acetate (MJ1808),,,FLAC
MasterJedi - Bare It All - John Barrett Recordings (5 CDs) (v2015) (MJ1311),,,FLAC
MasterJedi - All I Want Is... (v2016) (MJ1510),,,FLAC
,,,
Complilation - 1965 Rubber Soul Recording Sessions,,,FLAC
Complilation - 1968 Primal Colours Unreleased,,,FLAC
Complilation - 1969-01-xx More Rhine River and Final Rhine River,,,FLAC
Complilation - Abbey Road Complete Multitracks,,,FLAC
Complilation - Apple Scraps 1 (Melvin Records) (MCD-001),,,FLAC
Complilation - Apple Scraps 2 (Melvin Records) (MCD-005),,,FLAC
Complilation - Magical Mystery Demos (Parlophone),,,FLAC
Complilation - MissHimMissHimMissHim (8 CDs) (DarthDisc),,,FLAC
,,,
Adam VIII LTD CD 49-011 - A Parlophone Rehearsal Session,,,FLAC
Adam VIII LTD CD 49-012 - The Ultimate Unreleased Collection v1,,,FLAC
Adam VIII LTD CD 49-013 - The Ultimate Unreleased Collection v2,,,FLAC
Adam VIII LTD CD 49-016 - Paul McCartney - Venus And Mars - Basic Trax CD,,,FLAC
Adam VIII LTD CD 49-018 - The Black & White Album,,,FLAC
Adam VIII LTD CD 49-019 - 1967,,,FLAC
Adam VIII LTD CD 49-020 - Sessions,,,FLAC
Adam VIII LTD CD 49-021 - Volume Four & A Half,,,FLAC
Adam VIII LTD CD 49-022 - Complete Apple Trax v1,,,FLAC
Adam VIII LTD CD 49-023 - Complete Apple Trax v2,,,FLAC
Adam VIII LTD CD 49-024 - Complete Apple Trax v3,,,FLAC
Adam VIII LTD CD 49-025 - Complete Apple Trax v4,,,FLAC
Adam VIII LTD CD 49-026 - Complete Apple Trax v5,,,FLAC
Adam VIII LTD CD 49-027 - Complete Apple Trax v6,,,FLAC
Adam VIII LTD CD 49-028 - John Lennon Roots,,,FLAC
Adam VIII LTD CD 49-031 - Vancouver-Chicago 64,,,FLAC
Adam VIII LTD CD 49-032 - Not For Sale,,,FLAC
Adam VIII LTD CD 49-033 - No. 3 Abbey Road NW8,,,FLAC
Adam VIII LTD CD 49-034 - The Lost Beebs,,,FLAC
Adam VIII LTD CD 49-035 - All the Songs The Beatles Gave Away,,,FLAC
,,,
Abbey Rogue - Mixomatosis V1,,,FLAC
Abbey Rogue - Mixomatosis V2,,,FLAC
,,,
Beatles Remixers Group,,,
BRG01 - Tuned To A Natural E v1,,,FLAC
BRG02 - Rubber Sounds,,,FLAC
BRG05 - Tuned To A Natural E v2,,,FLAC
BRG06 - Abbey Road Remix,,,FLAC
BRG07 - Tuned To A Natural E v3,,,FLAC
BRG09 - White Album Remix,,,FLAC
BRG10 - Tuned To A Natural E v4,,,FLAC
BRG12 - Tuned To A Natural E v5,,,FLAC
BRG14 - Tuned To A Natural E v6 - The Remixes,,,FLAC
BRG15 - Tuned To A Natural E v6 - The Mashups,,,FLAC
BRG16 - Let It Be Remixed,,,FLAC
BRG18 - Tuned To A Natural E v7,,,FLAC
BRG22 - Tuned To A Natural E v8,,,FLAC
,,,
Alternate Anthology I 1,,,FLAC
Alternate Anthology I 2,,,FLAC
Alternate Anthology II 1,,,FLAC
Alternate Anthology II 2,,,FLAC
Alternate Anthology III 1,,,FLAC
Alternate Anthology III 2,,,FLAC
Anthology Extra,,,FLAC
Anthology More,,,FLAC
Anthology Plus,,,FLAC
,,,
At The Beeb 01,,,FLAC
At The Beeb 02,,,FLAC
At The Beeb 03,,,FLAC
At The Beeb 04,,,FLAC
At The Beeb 05,,,FLAC
At The Beeb 06,,,FLAC
At The Beeb 07,,,FLAC
At The Beeb 08,,,FLAC
At The Beeb 09,,,FLAC
At The Beeb 10,,,FLAC
The Lost BBC Tapes,,,FLAC